"OTU" "name" "all" "AF_A" "AF_B" "AM_A" "AM_B" "AQ_A" "AQ_B" "AX_A" "AX_B" "BB_A" "BB_B" "BF_A" "BF_B" "BI_A" "BI_B" "BM_A" "BM_B" "BU_A" "BU_B" "BX_A" "BX_B"
"49" 49 "BX_B_25421_3_753*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"50" 50 "BI_A_31763_3_761*" 4 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0
"51" 51 "BI_A_3711_3_128*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"52" 52 "BI_A_32650_3_842*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"53" 53 "BX_B_28211_3_128*" 5 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1
"54" 54 "BI_A_13170_3_532*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"55" 55 "BI_B_353_3_909*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"56" 56 "BI_B_33219_3_343*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"57" 57 "BI_A_7305_3_911*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"58" 58 "BI_B_15103_3_282*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"59" 59 "BI_B_45184_3_772*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"60" 60 "BI_A_22800_3_717*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"61" 61 "BI_B_25822_3_51*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"62" 62 "BI_B_6931_3_262*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"63" 63 "BI_A_8798_3_254*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"64" 64 "BI_B_12108_3_233*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"65" 65 "BI_B_13150_3_247*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"66" 66 "BU_B_164985_4_983*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"67" 67 "BI_B_7262_3_442*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"68" 68 "BU_B_169859_4_771*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"69" 69 "BX_B_43867_3_4*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"70" 70 "BI_B_39351_3_734*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"71" 71 "BI_A_18888_3_273*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"72" 72 "BI_B_4776_3_926*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"73" 73 "BI_B_681_3_570*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"74" 74 "BI_B_24420_3_376*" 4 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0
"75" 75 "BI_B_27226_3_245*" 6 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0
