"OTU" "name" "all" "AF_A" "AF_B" "AM_A" "AM_B" "AQ_A" "AQ_B" "AX_A" "AX_B" "BB_A" "BB_B" "BF_A" "BF_B" "BI_A" "BI_B" "BM_A" "BM_B" "BU_A" "BU_B" "BX_A" "BX_B"
"690" 690 "BF_A_4891_3_470*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"691" 691 "BU_B_16205_4_957*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"692" 692 "BU_B_87370_4_520*" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0
"693" 693 "BU_B_79279_4_485*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"694" 694 "BF_B_8851_3_63*" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"695" 695 "BU_B_169078_4_538*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"696" 696 "BB_A_12312_3_114*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"697" 697 "BF_B_16124_3_679*" 12 0 0 0 0 0 0 0 0 0 0 10 2 0 0 0 0 0 0 0 0
"698" 698 "BU_A_587_4_22*" 8 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 1 0 0
"699" 699 "BF_A_11114_3_306*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"700" 700 "BF_A_8259_3_275*" 27 0 0 1 0 0 0 0 0 0 0 17 4 0 0 0 0 0 5 0 0
"701" 701 "BF_A_16894_3_75*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"702" 702 "BU_B_168143_4_358*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"703" 703 "BF_A_692_3_231*" 24 0 0 2 0 0 0 0 0 0 0 13 4 0 0 0 0 0 5 0 0
"704" 704 "BU_A_653_4_714*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"705" 705 "BU_B_14643_4_657*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"706" 706 "BF_A_58_3_556*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"707" 707 "BU_B_12265_4_71*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"708" 708 "BU_B_84736_4_47*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"709" 709 "BU_B_17751_4_964*" 11 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 9 0 0
"710" 710 "BF_B_1105_3_72*" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"711" 711 "BU_B_96677_4_502*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"712" 712 "BF_A_24117_3_112*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"713" 713 "BF_A_4292_3_163*" 5 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0
"714" 714 "BB_B_18651_3_990*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"715" 715 "BF_A_17321_3_894*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"716" 716 "BF_A_11598_3_606*" 16 0 0 2 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0
"717" 717 "BF_B_7471_3_307*" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"718" 718 "BF_A_23018_3_829*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"719" 719 "BF_A_18073_3_629*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"720" 720 "BF_A_21956_3_568*" 12 0 0 2 0 0 0 0 0 0 0 6 1 0 0 0 0 1 2 0 0
"721" 721 "BF_A_4149_3_43*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"722" 722 "BF_A_8313_3_169*" 7 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 1 1 0 0
"723" 723 "BU_B_170275_4_139*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"724" 724 "BF_A_2551_3_287*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"725" 725 "BF_B_7632_3_547*" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"726" 726 "BF_A_20835_3_766*" 6 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
"727" 727 "BF_A_8795_3_63*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"728" 728 "BF_A_2105_3_905*" 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"729" 729 "BF_A_10024_3_617*" 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"730" 730 "BF_A_1015_3_65*" 15 0 0 0 0 0 0 0 0 0 0 12 1 0 0 0 0 0 1 1 0
"731" 731 "BU_B_94570_4_435*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"732" 732 "BF_A_25920_3_394*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"733" 733 "AM_A_21364_4_387*" 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"734" 734 "BF_A_26829_3_422*" 16 0 0 0 0 0 0 0 0 0 0 13 2 0 0 0 0 0 0 1 0
"735" 735 "BU_B_6599_4_50*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"736" 736 "BF_A_13045_3_189*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"737" 737 "BU_B_103026_4_936*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"738" 738 "BU_B_99626_4_170*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"739" 739 "BU_A_43982_4_655*" 14 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 8 0 0
"740" 740 "BU_B_29144_4_261*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"741" 741 "BU_B_109983_4_505*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"742" 742 "BU_B_14910_4_198*" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"743" 743 "BU_A_49523_4_750*" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0
"744" 744 "BF_A_18838_3_18*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"745" 745 "BF_A_17274_3_82*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"746" 746 "BU_B_7933_4_290*" 8 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 3 0 0
"747" 747 "BU_B_1146_4_774*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"748" 748 "BF_B_1039_3_12*" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"749" 749 "AM_A_5651_4_137*" 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"750" 750 "BF_A_3027_3_587*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"751" 751 "BF_B_15214_3_365*" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"752" 752 "BU_B_181354_4_820*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"753" 753 "BU_B_5712_4_449*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"754" 754 "BF_A_19543_3_957*" 3 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0
"755" 755 "BF_A_386_3_856*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"756" 756 "BF_A_21560_3_35*" 7 0 0 1 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
"757" 757 "BF_A_3179_3_15*" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"758" 758 "BU_B_94484_4_495*" 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0
"759" 759 "BF_B_15561_3_778*" 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"760" 760 "BF_A_11317_3_140*" 4 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0
"761" 761 "BF_B_26262_3_860*" 3 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0
"762" 762 "BF_B_8720_3_582*" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"763" 763 "BF_B_6798_3_639*" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"764" 764 "BU_B_152273_4_694*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"765" 765 "BB_B_14953_3_387*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"766" 766 "AM_A_3331_4_526*" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"767" 767 "BB_B_24695_3_957*" 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"768" 768 "BB_B_29901_3_331*" 6 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
"769" 769 "BB_B_17914_3_510*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"770" 770 "BB_B_29086_3_829*" 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"771" 771 "BB_A_19591_3_401*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"772" 772 "BB_B_10507_3_455*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"773" 773 "BB_B_31609_3_832*" 4 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0
"774" 774 "BB_B_31833_3_433*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"775" 775 "BB_B_28753_3_995*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"776" 776 "BU_B_168056_4_12*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"777" 777 "BB_A_3120_3_622*" 4 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0
"778" 778 "BB_A_15104_3_339*" 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"779" 779 "BB_A_11150_3_591*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"780" 780 "BB_B_3223_3_287*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"781" 781 "BB_B_4001_3_647*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"782" 782 "AX_A_32539_2_550*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"783" 783 "BB_B_14658_3_493*" 5 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 1 0 0 0
"784" 784 "BB_B_7790_3_392*" 3 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0
"785" 785 "BB_A_9239_3_341*" 7 0 0 0 0 0 0 2 0 3 2 0 0 0 0 0 0 0 0 0 0
"786" 786 "BB_B_8534_3_639*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"787" 787 "BB_A_16561_3_974*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"788" 788 "BB_B_26773_3_946*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"789" 789 "BB_B_6030_3_237*" 6 0 0 0 0 0 0 1 1 0 4 0 0 0 0 0 0 0 0 0 0
"790" 790 "AX_A_24948_2_654*" 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"791" 791 "BB_B_32809_3_48*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"792" 792 "AX_A_18909_2_48*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"793" 793 "BU_A_91507_4_970*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"794" 794 "BU_B_147377_4_327*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"795" 795 "BB_A_8603_3_779*" 11 0 0 0 0 0 0 1 0 3 7 0 0 0 0 0 0 0 0 0 0
"796" 796 "BB_B_25465_3_53*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"797" 797 "BB_B_1305_3_12*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"798" 798 "BB_B_15239_3_680*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"799" 799 "BB_B_14708_3_34*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"800" 800 "AX_A_20938_2_443*" 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"801" 801 "BB_B_6142_3_297*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"802" 802 "BB_A_7519_3_617*" 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"803" 803 "BU_A_86970_4_476*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"804" 804 "BB_B_20437_3_686*" 6 0 0 0 0 0 0 2 1 0 3 0 0 0 0 0 0 0 0 0 0
"805" 805 "BB_B_5710_3_922*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"806" 806 "BB_B_22986_3_283*" 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0
"807" 807 "BB_A_14660_3_957*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"808" 808 "BB_A_17183_3_709*" 5 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0
"809" 809 "BB_B_15524_3_281*" 6 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0
"810" 810 "AX_A_29941_2_314*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"811" 811 "AX_A_12970_2_367*" 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"812" 812 "BB_B_4157_3_481*" 7 0 0 0 0 0 0 4 0 0 3 0 0 0 0 0 0 0 0 0 0
"813" 813 "AX_A_9710_2_230*" 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"814" 814 "BB_B_30570_3_518*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"815" 815 "BU_B_170986_4_658*" 5 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 1 0 0
"816" 816 "BB_A_5480_3_194*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"817" 817 "AX_A_25660_2_209*" 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"818" 818 "BB_A_7490_3_391*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"819" 819 "BB_A_19960_3_648*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"820" 820 "BB_A_4462_3_671*" 10 0 0 0 0 0 0 2 0 5 3 0 0 0 0 0 0 0 0 0 0
"821" 821 "BB_B_27210_3_900*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"822" 822 "AX_A_1705_2_906*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"823" 823 "BB_A_12144_3_167*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"824" 824 "BB_A_2939_3_788*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"825" 825 "BX_A_183097_3_808*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"826" 826 "BB_B_6505_3_650*" 5 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0
"827" 827 "BB_A_4960_3_925*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"828" 828 "BB_A_13840_3_177*" 39 0 0 0 0 0 0 2 0 13 21 0 0 0 0 0 0 3 0 0 0
"829" 829 "BB_B_3182_3_919*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"830" 830 "BB_B_20627_3_859*" 5 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0
"831" 831 "BB_B_3540_3_753*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"832" 832 "BB_A_6620_3_469*" 8 0 0 0 0 0 0 1 0 4 3 0 0 0 0 0 0 0 0 0 0
"833" 833 "BB_A_10442_3_104*" 16 0 0 0 0 0 0 3 0 6 5 0 0 0 0 0 0 2 0 0 0
"834" 834 "BB_A_10497_3_157*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"835" 835 "BB_A_15468_3_353*" 4 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0
"836" 836 "AX_A_1741_2_793*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"837" 837 "BB_B_30332_3_744*" 12 0 0 0 0 0 0 1 0 5 5 0 0 0 0 0 0 0 0 0 1
"838" 838 "AX_A_5246_2_817*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"839" 839 "BB_B_28644_3_702*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"840" 840 "BB_B_17440_3_616*" 3 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
"841" 841 "BB_B_16478_3_535*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"842" 842 "BB_A_12579_3_361*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"843" 843 "BB_B_27087_3_434*" 5 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0
"844" 844 "BB_B_11649_3_536*" 6 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
"845" 845 "BB_B_23568_3_64*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"846" 846 "BB_B_73_3_556*" 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"847" 847 "BB_A_7357_3_271*" 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"848" 848 "BB_B_4151_3_940*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"849" 849 "BB_B_22385_3_675*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"850" 850 "BB_B_5991_3_523*" 8 0 0 0 0 0 0 0 0 2 5 0 0 0 0 0 0 1 0 0 0
"851" 851 "BB_A_12648_3_474*" 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"852" 852 "BB_B_11123_3_176*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"853" 853 "BB_A_19618_3_461*" 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"854" 854 "BB_A_6909_3_596*" 77 0 0 0 0 0 0 5 0 13 56 0 0 0 0 0 0 2 1 0 0
"855" 855 "BB_B_29420_3_550*" 3 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
"856" 856 "BB_A_16173_3_35*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"857" 857 "BB_B_11553_3_250*" 6 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
"858" 858 "BB_A_15788_3_21*" 15 0 0 0 0 0 0 0 0 3 11 0 0 0 0 0 0 1 0 0 0
"859" 859 "BB_B_31717_3_486*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"860" 860 "BU_B_30950_4_734*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"861" 861 "BB_B_6500_3_537*" 7 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0
"862" 862 "BB_B_533_3_224*" 13 0 0 0 0 0 0 2 0 1 8 0 0 0 0 0 0 2 0 0 0
"863" 863 "BB_A_12549_3_820*" 28 0 0 0 0 0 0 3 0 11 12 0 0 0 0 0 0 2 0 0 0
"864" 864 "BB_B_7119_3_205*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"865" 865 "BB_B_22280_3_269*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"866" 866 "BB_B_18497_3_411*" 11 0 0 0 0 0 0 3 0 0 6 0 0 0 0 0 0 2 0 0 0
"867" 867 "BB_B_15724_3_807*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"868" 868 "BU_B_15928_4_438*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"869" 869 "BB_B_9145_3_886*" 9 0 0 0 0 0 0 1 0 1 5 0 0 0 0 0 0 1 0 0 1
"870" 870 "BB_A_5527_3_254*" 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"871" 871 "BB_A_7532_3_451*" 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"872" 872 "BB_B_20727_3_460*" 18 0 0 0 0 0 0 1 0 6 11 0 0 0 0 0 0 0 0 0 0
"873" 873 "AX_A_16175_2_730*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"874" 874 "BB_A_16220_3_674*" 7 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 0 0 1 0 0
"875" 875 "BU_B_175694_4_859*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"876" 876 "BU_A_95528_4_592*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"877" 877 "BB_A_11126_3_238*" 18 0 0 0 0 0 0 2 0 8 6 0 0 0 0 0 0 1 1 0 0
"878" 878 "BB_B_9000_3_593*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"879" 879 "BB_B_23342_3_403*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"880" 880 "BB_A_8756_3_207*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"881" 881 "BU_A_73409_4_272*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"882" 882 "AX_A_17882_2_426*" 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"883" 883 "BB_B_16695_3_888*" 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"884" 884 "BB_B_34111_3_83*" 13 0 0 0 0 0 0 0 0 6 7 0 0 0 0 0 0 0 0 0 0
"885" 885 "BB_B_9961_3_441*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"886" 886 "AX_A_6348_2_33*" 35 0 0 0 0 0 0 3 0 11 18 0 0 0 0 0 0 2 1 0 0
"887" 887 "BB_A_15026_3_166*" 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"888" 888 "AX_A_20859_2_496*" 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"889" 889 "BF_A_20334_3_173*" 4 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0
"890" 890 "AX_A_21726_2_344*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"891" 891 "BB_A_859_3_651*" 9 0 0 0 0 0 0 0 0 5 4 0 0 0 0 0 0 0 0 0 0
"892" 892 "AX_A_4313_2_849*" 7 0 0 0 0 0 0 1 0 5 0 0 0 0 0 0 0 1 0 0 0
"893" 893 "BB_A_20576_3_729*" 22 0 0 0 0 0 0 3 0 7 11 0 0 0 0 0 0 0 1 0 0
"894" 894 "BU_B_28989_4_780*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"895" 895 "BB_B_12298_3_91*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"896" 896 "BU_A_45193_4_722*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"897" 897 "BB_B_23156_3_749*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"898" 898 "BB_B_1033_3_983*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"899" 899 "AX_A_8839_2_668*" 15 0 0 0 0 0 0 3 0 7 4 0 0 0 0 0 0 1 0 0 0
"900" 900 "BB_A_15083_3_226*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"901" 901 "BB_B_9872_3_494*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"902" 902 "AX_A_3734_2_30*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"903" 903 "AX_A_21953_2_697*" 26 0 0 0 0 0 0 3 0 11 10 0 0 0 0 0 0 0 1 1 0
"904" 904 "AX_A_14570_2_808*" 3 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0
"905" 905 "BB_A_15391_3_985*" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"906" 906 "BU_A_4571_4_396*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"907" 907 "BB_B_26919_3_201*" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"908" 908 "BB_B_4046_3_421*" 13 0 0 0 0 0 0 2 0 3 8 0 0 0 0 0 0 0 0 0 0
"909" 909 "AX_A_4451_2_510*" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
